score,below_symbol,above_symbol,relation0_action,relation1_action,matching_pair_count,preferred_physical_pair_count,physical_pair_summary,relation0_target_mass,relation1_target_mass,target_mass_difference,js_divergence,relation0_distribution,relation1_distribution
111.98972644831106,0,2,stack16,stack20,200,200,Cup→Cube:100; Cup→Vertical cylinder:100,0.896551724137931,0.9788732394366197,0.0823215152986887,0.5631288258171454,inserted 69.0%; stacked 20.7%; tumble2 10.3%,stacked 97.9%; tumble2 2.1%
13.621774686543457,0,0,stack18,stack21,100,0,Cup→Cup:100,1.0,0.7586206896551724,0.24137931034482762,0.8049593782731062,stacked 97.2%; inserted 2.8%,inserted 72.4%; tumble2 24.1%; stacked 3.4%
13.195520427136273,0,3,stack23,stack22,90,0,Cup→Horizontal cylinder:90,0.88,0.3230769230769231,0.5569230769230769,0.5369683475069627,inserted 72.0%; stacked 16.0%; tumble2 12.0%,tumble2 66.2%; stacked 32.3%; tumble1 1.5%
11.25002467705644,2,0,stack26,stack24,200,0,Cube→Cup:100; Vertical cylinder→Cup:100,0.9937106918238994,1.0,0.0062893081761006275,0.4061927120586451,stacked 99.4%; tumble2 0.6%,inserted 61.0%; stacked 39.0%
10.689179282130024,2,2,stack27,stack25,400,0,Cube→Cube:100; Cube→Vertical cylinder:100; Vertical cylinder→Cube:100; Vertical cylinder→Vertical cylinder:100,0.9914772727272727,0.875,0.11647727272727271,0.06400673040697812,stacked 99.1%; tumble2 0.6%; roll1 0.3%,stacked 85.4%; tumble2 12.5%; inserted 2.1%
10.509263601268591,0,1,stack17,stack19,110,0,Cup→Sphere:100; Cup→Horizontal cylinder:10,0.9166666666666666,0.9054054054054055,0.011261261261261146,0.42876354276520645,inserted 69.4%; stacked 22.2%; tumble2 8.3%,stacked 87.8%; tumble2 9.5%; inserted 2.7%
7.843905197319585,2,1,stack29,stack28,220,0,Cube→Sphere:100; Vertical cylinder→Sphere:100; Cube→Horizontal cylinder:10; Vertical cylinder→Horizontal cylinder:10,0.6971428571428571,0.5555555555555556,0.14158730158730148,0.054846705984835625,stacked 69.1%; tumble2 24.0%; roll1 5.1%; roll2 1.1%,stacked 48.9%; tumble2 40.0%; inserted 6.7%; roll1 4.4%
6.863610589052506,3,0,stack14,stack13,90,0,Horizontal cylinder→Cup:90,0.043478260869565216,0.3333333333333333,0.28985507246376807,0.6936672978001105,roll2 95.7%; stacked 4.3%,roll1 47.6%; inserted 33.3%; roll2 14.3%; tumble1 4.8%
5.074408840252062,2,3,stack30,stack31,180,0,Cube→Horizontal cylinder:90; Vertical cylinder→Horizontal cylinder:90,0.2465753424657534,0.4117647058823529,0.1651893634165995,0.043604988115178316,tumble2 72.6%; stacked 24.0%; tumble1 2.1%; inserted 0.7%,tumble2 55.9%; stacked 41.2%; roll1 2.9%
3.292278636698236,3,3,stack2,stack5,81,0,Horizontal cylinder→Horizontal cylinder:81,0.16666666666666666,0.0,0.16666666666666666,0.264092878899412,tumble2 77.8%; stacked 14.8%; tumble1 5.6%; inserted 1.9%,tumble1 51.9%; tumble2 48.1%
2.0499492802456563,1,0,stack15,stack12,110,0,Sphere→Cup:100; Horizontal cylinder→Cup:10,0.0,0.0,0.0,0.6833164267485521,roll2 94.3%; tumble1 4.6%; tumble2 1.1%,roll1 69.6%; tumble1 17.4%; roll2 8.7%; tumble2 4.3%
1.2317864402200982,3,2,stack9,stack11,180,0,Horizontal cylinder→Cube:90; Horizontal cylinder→Vertical cylinder:90,0.09285714285714286,0.07500000000000001,0.01785714285714285,0.07130976578765179,roll1 63.6%; tumble2 17.1%; tumble1 9.3%; stacked 5.0%,roll1 42.5%; tumble1 32.5%; tumble2 17.5%; inserted 5.0%
1.090855499309681,3,1,stack0,stack7,99,0,Horizontal cylinder→Sphere:90; Horizontal cylinder→Horizontal cylinder:9,0.03225806451612903,0.0,0.03225806451612903,0.20232817718924856,tumble2 91.9%; stacked 3.2%; tumble1 3.2%; roll1 1.6%,tumble2 56.8%; tumble1 43.2%
0.8041324608668318,1,2,stack8,stack10,220,0,Sphere→Cube:100; Sphere→Vertical cylinder:100; Horizontal cylinder→Cube:10; Horizontal cylinder→Vertical cylinder:10,0.01807228915662651,0.05555555555555555,0.037483266398929044,0.0203868577722103,roll1 63.3%; tumble1 21.1%; tumble2 13.3%; inserted 1.2%,roll1 61.1%; tumble1 24.1%; tumble2 9.3%; inserted 5.6%
0.4820791667196315,1,3,stack3,stack4,99,0,Sphere→Horizontal cylinder:90; Horizontal cylinder→Horizontal cylinder:9,0.0,0.0,0.0,0.1606930555732105,tumble2 74.6%; tumble1 23.8%; roll1 1.6%,tumble1 69.4%; tumble2 30.6%
0.388934973369715,1,1,stack1,stack6,121,0,Sphere→Sphere:100; Sphere→Horizontal cylinder:10; Horizontal cylinder→Sphere:10; Horizontal cylinder→Horizontal cylinder:1,0.01282051282051282,0.0,0.01282051282051282,0.06554242702067424,tumble2 93.6%; roll1 3.8%; stacked 1.3%; tumble1 1.3%,tumble2 81.4%; tumble1 16.3%; roll1 2.3%
